Auntie Anne's, Pretzels, 9323 Mall Road, 304-983-6175, $$, No Services.
Lefty's Place, Pizza, 503 Burroughs Street, 304-241-5501, $$$, No Service.
Green Tea Asian Fusion, Asian, 511 Burroughs Place, 304-381-2140, $$$, Doordash.
Wine Bar at Vintner Valley, Bar, 510 Burroughs Street, 304-241-1687, $$$, No Services.
Pizza Al's, Pizza, 2952 University Avenue, 304-599-4040, $$$, Pizza Al's.
McDonald's, Fast Food, 2932 University Avenue, 304-599-4162, $, Grubhub.
Ogawa, Japanese, 2920 University Avenue, 304-598-8338, $$$, No Services.
Mountaineers Taphouse, Bar, 453 Oakland Street, 304-241-1727, $$$, Grubhub.
Ta-Khrai Thai Cafe, Thai, 2862 University Avenue, 304-282-3707, $$$, No Services.
Smoothie King, Juice Shop, 475 Oakland Street, 304-212-5561, $, No Services.
IHOP, Breakfast, 475 Oakland Street, 304-292-4301, $$, Grubhub.
Starbucks, Cafe, 1 Medical Center Drive, 304-598-4000, $$, Doordash.
Atria's, Bar, 1188 Pineview Drive, 304-381-9616, $$$, Grubhub.
Subway, Sandwiches, 918 Chestnut Ridge, 304-598-3774, $$, Grubhub.
Varsity Club, Bar, 910 Willowdale Road, 304-599-5990, $$$, No Services.
Sandwich University, Sandwiches, 708 Beechurst Avenue, 304-381-4552, $$, Grubhub.
New Foo Sheen, Chinese, 450 Beechurst Avenue, 304-381-4679, $$$, Grubhub.
The Greeks, Greek, 331 Beechurst Avenue, 304-284-0055, $$$, Grubhub.
Mutt's, Bar, 263 Beechurst Avenue, 304-292-3579, $$$, No Services.
Papa John's, Pizza, 229 Beechurst Avenue, 304-292-7200, $$$, Papa John's.
Bombay Indian Grill, Indian, 2011 University Avenue, 304-381-4858, $$$, Grubhub.
Sunnyside Bullpen, Bar, 2041 University Avenue, 304-212-5290, $$$, No Services.
Papa Allen's Pizza, Pizza, 2161 University Avenue, 304-241-1022, $$$, Papa Allen's Pizza.
Little Caesars, Pizza, 2942 University Avenue, 304-599-4939, $, No Services.
Starbucks, Breakfast, 51 Donahue Drive, 681-209-4782, $$, Grubhub.
Oryza, Asian, 51 Donahue Drive, 304-292-9866, $$$, Grubhub.
Penn Station, Sandwiches, 51 Donahue Drive, 304-300-7366, $$, No Services.
Papa John's 51 Donahue Drive, 304-241-8330, $$$, Papa John's.
Buffalo Wild Wings, Bar, 1099 Suncrest Towne Centre Drive, 304-598-3430, $$$, Grubhub.
No 1 Super China Buffet, Chinese, 1086 Suncrest Towne Centre, 304-599-8889, $$, No Services.
Peace Love and Little Donuts, Breakfast, 1078 Suncrest Towne Centre, 304-212-5765, $$, Doordash.
Five Guys, Fast Food, 1000 Suncrest Towne Centre, 304-212-5723, $$$, Doordash.
Jimmy Johns, Sandwiches, 1018 Suncrest Towne Centre, 304-241-5555, $$, Jimmy John's.
Cairo 2 Go, Egyptian, 1006 Suncrest Towne Centre, 304-322-4505, $$$, Grubhub.
Pies & Pints, Pizza, 1002 Suncrest Towne Centre, 304-777-4749, $$$, Doordash.
Roosters, Bar, 550 Suncrest Towne Centre, 304-241-1002, $$, Grubhub.
Crab Shack Caribba, Seafood, 420 Suncrest Towne Centre, 304-599-4545, $$$, Grubhub.
Primanti Bros, Sandwiches, 402 Suncrest Towne Centre, 304-241-5420, $$, Grubhub.
Tim Hortons, Breakfast, 1298 Suncrest Towne Centre, 304-381-2814, $, No Services.
Dairy Queen, Fast Food, 421 Suncrest Towne Centre, 304-212-5986, $$, No Services.
Saladworks, Salad, 406 Suncrest Towne Centre, 304-291-9494, $$, Grubhub.
Bacon, Bourbon & Beer, Comfort Food, 368 Suncrest Towne Centre, 304-381-4847, $$$, No Services.
Bartini Prime, Bar, 350 Suncrest Towne Centre, 304-599-1001, $$$, No Services.
Sonic, Fast Food, 361 Suncrest Towne Centre, 304-598-0024, $$, No Services.
McDonald's, Fast Food, 351 Suncrest Towne Centre, 304-599-0382, $, Grubhub.
Mario's Fishbowl, Bar, 704 Richwood Avenue, 304-292-2511, $$$, No Services.
Pizza Hut, Pizza, 345 Brockway Avenue, 304-292-7100, $$$, Pizza Hut.
Panera Bread, Sandwiches, 207 Willey Street, 304-291-6240, $$, Grubhub.
The Grind, Cafe, 168 Willey Street, 304-296-5297, $$, No Services.
Casa D'Amici, Italian, 485 High Street, 304-292-4400, $$, Grubhub.
High Street Canteen, Bar, 514 High Street, 304-292-4068, $$$, No Services.
Mad Fresh, Diner, 218 Prospect Street, 304-381-2758, $$$, No Services.
Benny Velino's, Pizza, 458 High Street, 304-943-7363, $$, Grubhub.
Clutch Wing Shop, Comfort Food, 444 High Street, 304-212-5403, $$$, Grubhub.
Lotsa, Pizza, 419 High Street, 304-581-8000, $$$, Grubhub.
Tailpipes, Comfort Food, 417 High Street, 304-225-2535, $$$, Grubhub.
D.P Dough, Pizza, 408 High Street, 304-292-2444, $$$, D.P Dough.
Subway, Sandwiches, 400 High Street, 304-291-3300, $$, Grubhub.
Jimmy John's, Sandwiches, 405 High Street, 304-298-9060, $, Jimmy John's.
Yama, Japenese, 387 High Street, 304-291-2456, $$, No Services.
Pita Pit, Sandwiches, 387 High Street, 304-284-0027, $$, Grubhub.
Gibbie's Pub, Bar, 368 High Street, 304-296-4427, $$$, No Services.
Coldstone Creamery, Dessert, 356 High Street, 304-292-2653, $$, Grubhub.
Joe Mama's, Bar, 345 High Street, 304-296-0004, $$$, No Services.
Salam, Middle Eastern, 350 High Street, 304-322-4178, $$$, Grubhub.
The Bank, Bar, 344 High Street, 304-381-4291, $$$, No Services.
Jasmine Grill, Middle Eastern, 330 High Street, 304-291-7878, $$$, No Services.
Dirty Bird, Comfort Food, 301 High Street, 304-284-9599, $$$, No Services.
Blue Moose Cafe, Cafe, 248 Walnut Street, 304-292-8999, $$, No Services.
Great Wall, Chinese, 162 High Street, 304-291-3417, $$$, Grubhub.
Iron Horse Tavern, Bar, 140 High Street, 304-196-6230, $$$, No Services.
Black Bear Burritos, Mexican, 132 Pleasant Street, 304-296-8696, $$$, No Services.
Cheese Louise, Comfort Food, 994 Willey Street, 304-322-4242, $$, Grubhub.
